species	imgt_gene_id	functionality	gene_definition	allele_count	chromosome	chromosomal_localization	ligm_db_accessions	ncbi_gene_id
Ovis aries	TRBV24	F	Ovis aries T cell receptor beta variable 24	1	4	-	IMGT000042	-
Ovis aries	TRBV25	F	Ovis aries T cell receptor beta variable 25	1	4	-	IMGT000042	-
Ovis aries	TRBV26	F	Ovis aries T cell receptor beta variable 26	1	4	-	IMGT000042	-
Ovis aries	TRBV27	P	Ovis aries T cell receptor beta variable 27	1	4	-	IMGT000042	-
Ovis aries	TRBV28	F	Ovis aries T cell receptor beta variable 28	1	4	-	IMGT000042	-
Ovis aries	TRBV29	F	Ovis aries T cell receptor beta variable 29	1	4	-	IMGT000042	-
Ovis aries	TRBV3	F	Ovis aries T cell receptor beta variable 3	1	4	-	IMGT000042	-
Ovis aries	TRBV30	F	Ovis aries T cell receptor beta variable 30	1	4	-	AM420900	-
Ovis aries	TRBV4	F	Ovis aries T cell receptor beta variable 4	1	4	-	IMGT000042	-
Ovis aries	TRBV5-1	P	Ovis aries T cell receptor beta variable 5-1	1	4	-	IMGT000042	-
Ovis aries	TRBV5-10	P	Ovis aries T cell receptor beta variable 5-10	1	4	-	IMGT000042	-
Ovis aries	TRBV5-11	P	Ovis aries T cell receptor beta variable 5-11	1	4	-	IMGT000042	-
Ovis aries	TRBV5-12	P	Ovis aries T cell receptor beta variable 5-12	1	4	-	IMGT000042	-
Ovis aries	TRBV5-13	F	Ovis aries T cell receptor beta variable 5-13	1	4	-	IMGT000042	-
Ovis aries	TRBV5-14	P	Ovis aries T cell receptor beta variable 5-14	1	4	-	IMGT000042	-
Ovis aries	TRBV5-15	F	Ovis aries T cell receptor beta variable 5-15	1	4	-	IMGT000042	-
Ovis aries	TRBV5-16	P	Ovis aries T cell receptor beta variable 5-16	1	4	-	IMGT000042	-
Ovis aries	TRBV5-17	P	Ovis aries T cell receptor beta variable 5-17	1	4	-	IMGT000042	-
Ovis aries	TRBV5-18	F	Ovis aries T cell receptor beta variable 5-18	1	4	-	IMGT000042	-
Ovis aries	TRBV5-19	P	Ovis aries T cell receptor beta variable 5-19	1	4	-	IMGT000042	-
Ovis aries	TRBV5-2	F	Ovis aries T cell receptor beta variable 5-2	1	4	-	IMGT000042	-
Ovis aries	TRBV5-20	P	Ovis aries T cell receptor beta variable 5-20	1	4	-	IMGT000042	-
Ovis aries	TRBV5-21	F	Ovis aries T cell receptor beta variable 5-21	1	4	-	IMGT000042	-
Ovis aries	TRBV5-22	F	Ovis aries T cell receptor beta variable 5-22	1	4	-	IMGT000042	-
Ovis aries	TRBV5-23	F	Ovis aries T cell receptor beta variable 5-23	1	4	-	IMGT000042	-
Ovis aries	TRBV5-24	F	Ovis aries T cell receptor beta variable 5-24	1	4	-	IMGT000042	-
Ovis aries	TRBV5-25	ORF	Ovis aries T cell receptor beta variable 5-25	1	4	-	IMGT000042	-
Ovis aries	TRBV5-26	ORF	Ovis aries T cell receptor beta variable 5-26	1	4	-	IMGT000042	-
Ovis aries	TRBV5-27	P	Ovis aries T cell receptor beta variable 5-27	1	4	-	IMGT000042	-
Ovis aries	TRBV5-28	F	Ovis aries T cell receptor beta variable 5-28	1	4	-	IMGT000042	-
Ovis aries	TRBV5-29	F	Ovis aries T cell receptor beta variable 5-29	1	4	-	IMGT000042	-
Ovis aries	TRBV5-3	ORF	Ovis aries T cell receptor beta variable 5-3	1	4	-	IMGT000042	-
Ovis aries	TRBV5-30	ORF	Ovis aries T cell receptor beta variable 5-30	1	4	-	IMGT000042	-
Ovis aries	TRBV5-31	ORF	Ovis aries T cell receptor beta variable 5-31	1	4	-	IMGT000042	-
Ovis aries	TRBV5-32	F	Ovis aries T cell receptor beta variable 5-32	1	4	-	IMGT000042	-
Ovis aries	TRBV5-33	P	Ovis aries T cell receptor beta variable 5-33	1	4	-	IMGT000042	-
Ovis aries	TRBV5-4	P	Ovis aries T cell receptor beta variable 5-4	1	4	-	IMGT000042	-
Ovis aries	TRBV5-5	F	Ovis aries T cell receptor beta variable 5-5	1	4	-	IMGT000042	-
Ovis aries	TRBV5-6	F	Ovis aries T cell receptor beta variable 5-6	1	4	-	IMGT000042	-
Ovis aries	TRBV5-7	P	Ovis aries T cell receptor beta variable 5-7	1	4	-	IMGT000042	-
Ovis aries	TRBV5-8	F	Ovis aries T cell receptor beta variable 5-8	1	4	-	IMGT000042	-
Ovis aries	TRBV5-9	P	Ovis aries T cell receptor beta variable 5-9	1	4	-	IMGT000042	-
Ovis aries	TRBV6-1	ORF	Ovis aries T cell receptor beta variable 6-1	1	4	-	IMGT000042	-
Ovis aries	TRBV6-10	P	Ovis aries T cell receptor beta variable 6-10	1	4	-	IMGT000042	-
Ovis aries	TRBV6-11	P	Ovis aries T cell receptor beta variable 6-11	1	4	-	IMGT000042	-
Ovis aries	TRBV6-12	F	Ovis aries T cell receptor beta variable 6-12	1	4	-	IMGT000042	-
Ovis aries	TRBV6-13	P	Ovis aries T cell receptor beta variable 6-13	1	4	-	IMGT000042	-
Ovis aries	TRBV6-14	ORF	Ovis aries T cell receptor beta variable 6-14	1	4	-	IMGT000042	-
Ovis aries	TRBV6-15	F	Ovis aries T cell receptor beta variable 6-15	1	4	-	IMGT000042	-
Ovis aries	TRBV6-16	ORF	Ovis aries T cell receptor beta variable 6-16	1	4	-	IMGT000042	-
Ovis aries	TRBV6-17	F	Ovis aries T cell receptor beta variable 6-17	1	4	-	IMGT000042	-
Ovis aries	TRBV6-18	P	Ovis aries T cell receptor beta variable 6-18	1	4	-	IMGT000042	-
Ovis aries	TRBV6-19	P	Ovis aries T cell receptor beta variable 6-19	1	4	-	IMGT000042	-
Ovis aries	TRBV6-2	F	Ovis aries T cell receptor beta variable 6-2	1	4	-	IMGT000042	-
Ovis aries	TRBV6-20	P	Ovis aries T cell receptor beta variable 6-20	1	4	-	IMGT000042	-
Ovis aries	TRBV6-21	P	Ovis aries T cell receptor beta variable 6-21	1	4	-	IMGT000042	-
Ovis aries	TRBV6-22	F	Ovis aries T cell receptor beta variable 6-22	1	4	-	IMGT000042	-
Ovis aries	TRBV6-23	P	Ovis aries T cell receptor beta variable 6-23	1	4	-	IMGT000042	-
Ovis aries	TRBV6-24	P	Ovis aries T cell receptor beta variable 6-24	1	4	-	IMGT000042	-
Ovis aries	TRBV6-25	P	Ovis aries T cell receptor beta variable 6-25	1	4	-	IMGT000042	-
Ovis aries	TRBV6-26	P	Ovis aries T cell receptor beta variable 6-26	1	4	-	IMGT000042	-
Ovis aries	TRBV6-27	F	Ovis aries T cell receptor beta variable 6-27	1	4	-	IMGT000042	-
Ovis aries	TRBV6-28	ORF	Ovis aries T cell receptor beta variable 6-28	1	4	-	IMGT000042	-
Ovis aries	TRBV6-29	F	Ovis aries T cell receptor beta variable 6-29	1	4	-	IMGT000042	-
Ovis aries	TRBV6-3	P	Ovis aries T cell receptor beta variable 6-3	1	4	-	IMGT000042	-
Ovis aries	TRBV6-30	ORF	Ovis aries T cell receptor beta variable 6-30	1	4	-	IMGT000042	-
Ovis aries	TRBV6-4	P	Ovis aries T cell receptor beta variable 6-4	1	4	-	IMGT000042	-
Ovis aries	TRBV6-5	F	Ovis aries T cell receptor beta variable 6-5	1	4	-	IMGT000042	-
Ovis aries	TRBV6-6	F	Ovis aries T cell receptor beta variable 6-6	1	4	-	IMGT000042	-
Ovis aries	TRBV6-7	P	Ovis aries T cell receptor beta variable 6-7	1	4	-	IMGT000042	-
Ovis aries	TRBV6-8	P	Ovis aries T cell receptor beta variable 6-8	1	4	-	IMGT000042	-
Ovis aries	TRBV6-9	F	Ovis aries T cell receptor beta variable 6-9	1	4	-	IMGT000042	-
Ovis aries	TRBV7-1	F	Ovis aries T cell receptor beta variable 7-1	1	4	-	IMGT000042	-
Ovis aries	TRBV7-2	F	Ovis aries T cell receptor beta variable 7-2	1	4	-	IMGT000042	-
Ovis aries	TRBV8	P	Ovis aries T cell receptor beta variable 8	1	4	-	IMGT000042	-
Ovis aries	TRDC	F	Ovis aries T cell receptor delta constant	2	7	-	BK064708	-
Ovis aries	TRDD1	ORF	Ovis aries T cell receptor delta diversity 1	2	7	-	BK064708	-
Ovis aries	TRDD2	F	Ovis aries T cell receptor delta diversity 2	1	7	-	BK064708	-
Ovis aries	TRDD3	ORF	Ovis aries T cell receptor delta diversity 3	1	7	-	BK064708	-
Ovis aries	TRDD4	F	Ovis aries T cell receptor delta diversity 4	1	7	-	BK064708	-
Ovis aries	TRDD5	ORF	Ovis aries T cell receptor delta diversity 5	1	7	-	BK064708	-
Ovis aries	TRDD6	F	Ovis aries T cell receptor delta diversity 6	1	7	-	BK064708	-
Ovis aries	TRDD7	ORF	Ovis aries T cell receptor delta diversity 7	1	7	-	BK064708	-
Ovis aries	TRDD8	F	Ovis aries T cell receptor delta diversity 8	1	7	-	BK064708	-
Ovis aries	TRDD9	F	Ovis aries T cell receptor delta diversity 9	1	7	-	BK064708	-
Ovis aries	TRDJ1	F	Ovis aries T cell receptor delta joining 1	1	7	-	BK064708	-
Ovis aries	TRDJ2	ORF	Ovis aries T cell receptor delta joining 2	1	7	-	BK064708	-
Ovis aries	TRDJ3	F	Ovis aries T cell receptor delta joining 3	1	7	-	BK064708	-
Ovis aries	TRDJ4	F	Ovis aries T cell receptor delta joining 4	1	7	-	BK064708	-
Ovis aries	TRDV1-1	P	Ovis aries T cell receptor delta variable 1-1	1	7	-	BK064708	-
Ovis aries	TRDV1-10	P	Ovis aries T cell receptor delta variable 1-10	1	7	-	BK064708	-
Ovis aries	TRDV1-11	P	Ovis aries T cell receptor delta variable 1-11	1	7	-	BK064708	-
Ovis aries	TRDV1-12	F  P	Ovis aries T cell receptor delta variable 1-12	2	7	-	BK064708	-
Ovis aries	TRDV1-13	F	Ovis aries T cell receptor delta variable 1-13	1	7	-	BK064708	-
Ovis aries	TRDV1-14	ORF	Ovis aries T cell receptor delta variable 1-14	1	7	-	BK064708	-
Ovis aries	TRDV1-15	P	Ovis aries T cell receptor delta variable 1-15	1	7	-	BK064708	-
Ovis aries	TRDV1-16	P	Ovis aries T cell receptor delta variable 1-16	1	7	-	BK064708	-
Ovis aries	TRDV1-17	ORF  P	Ovis aries T cell receptor delta variable 1-17	2	7	-	BK064708	-
Ovis aries	TRDV1-18	F	Ovis aries T cell receptor delta variable 1-18	2	7	-	BK064708	-
Ovis aries	TRDV1-19	P	Ovis aries T cell receptor delta variable 1-19	1	7	-	BK064708	-
Ovis aries	TRDV1-2	F	Ovis aries T cell receptor delta variable 1-2	2	7	-	BK064708	-
Ovis aries	TRDV1-20	ORF	Ovis aries T cell receptor delta variable 1-20	1	7	-	BK064708	-
Ovis aries	TRDV1-21	F	Ovis aries T cell receptor delta variable 1-21	1	7	-	BK064708	-
Ovis aries	TRDV1-22	F	Ovis aries T cell receptor delta variable 1-22	1	7	-	BK064708	-
Ovis aries	TRDV1-23	ORF	Ovis aries T cell receptor delta variable 1-23	1	7	-	BK064708	-
Ovis aries	TRDV1-24	P	Ovis aries T cell receptor delta variable 1-24	1	7	-	BK064708	-
Ovis aries	TRDV1-25	F  P	Ovis aries T cell receptor delta variable 1-25	2	7	-	BK064708	-
Ovis aries	TRDV1-26	P	Ovis aries T cell receptor delta variable 1-26	2	7	-	BK064708	-
Ovis aries	TRDV1-27	F	Ovis aries T cell receptor delta variable 1-27	1	7	-	BK064708	-
Ovis aries	TRDV1-28	P	Ovis aries T cell receptor delta variable 1-28	1	7	-	BK064708	-
Ovis aries	TRDV1-29	P	Ovis aries T cell receptor delta variable 1-29	1	7	-	BK064708	-
Ovis aries	TRDV1-2D	F	Ovis aries T cell receptor delta variable 1-2D	1	7	-	BK064708	-
Ovis aries	TRDV1-3	F	Ovis aries T cell receptor delta variable 1-3	1	7	-	BK064708	-
Ovis aries	TRDV1-30	P	Ovis aries T cell receptor delta variable 1-30	1	7	-	BK064708	-
Ovis aries	TRDV1-31	F	Ovis aries T cell receptor delta variable 1-31	1	7	-	BK064708	-
Ovis aries	TRDV1-32	F	Ovis aries T cell receptor delta variable 1-32	1	7	-	BK064708	-
Ovis aries	TRDV1-33	F  P	Ovis aries T cell receptor delta variable 1-33	2	7	-	BK064708	-
Ovis aries	TRDV1-34	F  P	Ovis aries T cell receptor delta variable 1-34	2	7	-	BK064708	-
Ovis aries	TRDV1-35	F	Ovis aries T cell receptor delta variable 1-35	1	7	-	BK064708	-
Ovis aries	TRDV1-36	P	Ovis aries T cell receptor delta variable 1-36	1	7	-	BK064708	-
Ovis aries	TRDV1-37	P	Ovis aries T cell receptor delta variable 1-37	1	7	-	BK064708	-
Ovis aries	TRDV1-38	P	Ovis aries T cell receptor delta variable 1-38	1	7	-	BK064708	-
Ovis aries	TRDV1-39	F	Ovis aries T cell receptor delta variable 1-39	1	7	-	BK064708	-
Ovis aries	TRDV1-4	P	Ovis aries T cell receptor delta variable 1-4	1	7	-	BK064708	-
Ovis aries	TRDV1-40	F	Ovis aries T cell receptor delta variable 1-40	2	7	-	BK064708	-
Ovis aries	TRDV1-41	P	Ovis aries T cell receptor delta variable 1-41	1	7	-	BK064708	-
Ovis aries	TRDV1-42	F	Ovis aries T cell receptor delta variable 1-42	1	7	-	BK064708	-
Ovis aries	TRDV1-43	F  P	Ovis aries T cell receptor delta variable 1-43	3	7	-	BK064708	-
Ovis aries	TRDV1-44	ORF	Ovis aries T cell receptor delta variable 1-44	1	7	-	BK064708	-
Ovis aries	TRDV1-45	P	Ovis aries T cell receptor delta variable 1-45	1	7	-	BK064708	-
Ovis aries	TRDV1-46	F  ORF	Ovis aries T cell receptor delta variable 1-46	2	7	-	BK064708	-
Ovis aries	TRDV1-47	P	Ovis aries T cell receptor delta variable 1-47	1	7	-	BK064708	-
Ovis aries	TRDV1-48	F	Ovis aries T cell receptor delta variable 1-48	1	7	-	BK064708	-
Ovis aries	TRDV1-49	F	Ovis aries T cell receptor delta variable 1-49	1	7	-	BK064708	-
Ovis aries	TRDV1-5	F	Ovis aries T cell receptor delta variable 1-5	3	7	-	BK064708	-
Ovis aries	TRDV1-50	P	Ovis aries T cell receptor delta variable 1-50	1	7	-	BK064708	-
Ovis aries	TRDV1-51	P	Ovis aries T cell receptor delta variable 1-51	1	7	-	BK064708	-
Ovis aries	TRDV1-52	F	Ovis aries T cell receptor delta variable 1-52	1	7	-	BK064708	-
Ovis aries	TRDV1-53	F  ORF	Ovis aries T cell receptor delta variable 1-53	2	7	-	BK064708	-
Ovis aries	TRDV1-54	ORF  P	Ovis aries T cell receptor delta variable 1-54	3	7	-	BK064708	-
Ovis aries	TRDV1-55	P	Ovis aries T cell receptor delta variable 1-55	1	7	-	BK064708	-
Ovis aries	TRDV1-56	P	Ovis aries T cell receptor delta variable 1-56	1	7	-	BK064708	-
Ovis aries	TRDV1-57	F	Ovis aries T cell receptor delta variable 1-57	1	7	-	BK064708	-
Ovis aries	TRDV1-58	P	Ovis aries T cell receptor delta variable 1-58	1	7	-	BK064708	-
Ovis aries	TRDV1-59	P	Ovis aries T cell receptor delta variable 1-59	1	7	-	BK064708	-
Ovis aries	TRDV1-6	P	Ovis aries T cell receptor delta variable 1-6	1	7	-	BK064708	-
Ovis aries	TRDV1-60	F	Ovis aries T cell receptor delta variable 1-60	1	7	-	BK064708	-
Ovis aries	TRDV1-61	P	Ovis aries T cell receptor delta variable 1-61	1	7	-	BK064708	-
Ovis aries	TRDV1-62	F  P	Ovis aries T cell receptor delta variable 1-62	2	7	-	BK064708	-
Ovis aries	TRDV1-63	F	Ovis aries T cell receptor delta variable 1-63	2	7	-	BK064708	-
Ovis aries	TRDV1-64	P	Ovis aries T cell receptor delta variable 1-64	1	7	-	BK064708	-
Ovis aries	TRDV1-65	F	Ovis aries T cell receptor delta variable 1-65	1	7	-	BK064708	-
Ovis aries	TRDV1-7	P	Ovis aries T cell receptor delta variable 1-7	1	7	-	BK064708	-
Ovis aries	TRDV1-8	F  ORF	Ovis aries T cell receptor delta variable 1-8	3	7	-	BK064708	-
Ovis aries	TRDV1-9	F	Ovis aries T cell receptor delta variable 1-9	2	7	-	BK064708	-
Ovis aries	TRDV1S1	F	Ovis aries T cell receptor delta variable 1S1	3	7	-	OviAri_2_chr7	-
Ovis aries	TRDV1S10	F  ORF	Ovis aries T cell receptor delta variable 1S10	2	7	-	AJ786832	-
Ovis aries	TRDV1S11	F	Ovis aries T cell receptor delta variable 1S11	1	7	-	AJ786833	-
Ovis aries	TRDV1S12	F	Ovis aries T cell receptor delta variable 1S12	1	7	-	AJ786835	-
Ovis aries	TRDV1S13	ORF	Ovis aries T cell receptor delta variable 1S13	1	7	-	AJ786837	-
Ovis aries	TRDV1S14	F	Ovis aries T cell receptor delta variable 1S14	1	7	-	AJ786841	-
Ovis aries	TRDV1S15	ORF	Ovis aries T cell receptor delta variable 1S15	1	7	-	AJ809502	-
Ovis aries	TRDV1S16	ORF	Ovis aries T cell receptor delta variable 1S16	1	7	-	AJ809504	-
Ovis aries	TRDV1S17	ORF	Ovis aries T cell receptor delta variable 1S17	1	7	-	AJ809505	-
Ovis aries	TRDV1S18	ORF	Ovis aries T cell receptor delta variable 1S18	1	7	-	AJ809506	-
Ovis aries	TRDV1S2	ORF	Ovis aries T cell receptor delta variable 1S2	1	7	-	NW_004081954	-
Ovis aries	TRDV1S3	F	Ovis aries T cell receptor delta variable 1S3	1	7	-	NW_004082156	-
Ovis aries	TRDV1S4	F	Ovis aries T cell receptor delta variable 1S4	1	7	-	NW_004082507	-
Ovis aries	TRDV1S5	F	Ovis aries T cell receptor delta variable 1S5	1	7	-	NW_004082507	-
Ovis aries	TRDV1S6	ORF	Ovis aries T cell receptor delta variable 1S6	1	7	-	NW_004082507	-
Ovis aries	TRDV1S7	F	Ovis aries T cell receptor delta variable 1S7	1	7	-	NW_004083566	-
Ovis aries	TRDV1S8	F	Ovis aries T cell receptor delta variable 1S8	1	7	-	AJ786827	-
Ovis aries	TRDV1S9	F  ORF	Ovis aries T cell receptor delta variable 1S9	2	7	-	AJ786830	-
Ovis aries	TRDV2	ORF	Ovis aries T cell receptor delta variable 2	2	7	-	BK064708	-
Ovis aries	TRDV3	F	Ovis aries T cell receptor delta variable 3	2	7	-	BK064708	-
Ovis aries	TRDV4	P	Ovis aries T cell receptor delta variable 4	1	7	-	BK064708	-
Ovis aries	TRDV5	F	Ovis aries T cell receptor delta variable 5	2	7	-	BK064708	-
Pan troglodytes	TRAC	F	Pan troglodytes T cell receptor alpha constant	1	15		IMGT000279	-
Pan troglodytes	TRAJ1	ORF	Pan troglodytes T cell receptor alpha joining 1	1	15		IMGT000279	-
Pan troglodytes	TRAJ10	F	Pan troglodytes T cell receptor alpha joining 10	1	15		IMGT000279	-
Pan troglodytes	TRAJ11	F	Pan troglodytes T cell receptor alpha joining 11	1	15		IMGT000279	-
Pan troglodytes	TRAJ12	F	Pan troglodytes T cell receptor alpha joining 12	1	15		IMGT000279	-
Pan troglodytes	TRAJ13	ORF	Pan troglodytes T cell receptor alpha joining 13	1	15		IMGT000279	-
Pan troglodytes	TRAJ14	F	Pan troglodytes T cell receptor alpha joining 14	1	15		IMGT000279	-
Pan troglodytes	TRAJ15	F	Pan troglodytes T cell receptor alpha joining 15	1	15		IMGT000279	-
Pan troglodytes	TRAJ16	ORF	Pan troglodytes T cell receptor alpha joining 16	1	15		IMGT000279	-
Pan troglodytes	TRAJ17	F	Pan troglodytes T cell receptor alpha joining 17	1	15		IMGT000279	-
Pan troglodytes	TRAJ18	F	Pan troglodytes T cell receptor alpha joining 18	1	15		IMGT000279	-
Pan troglodytes	TRAJ19	ORF	Pan troglodytes T cell receptor alpha joining 19	1	15		IMGT000279	-
Pan troglodytes	TRAJ2	ORF	Pan troglodytes T cell receptor alpha joining 2	1	15		IMGT000279	-
Pan troglodytes	TRAJ20	F	Pan troglodytes T cell receptor alpha joining 20	1	15		IMGT000279	-
Pan troglodytes	TRAJ21	F	Pan troglodytes T cell receptor alpha joining 21	2	15		IMGT000279	-
Pan troglodytes	TRAJ22	F	Pan troglodytes T cell receptor alpha joining 22	1	15		IMGT000279	-
Pan troglodytes	TRAJ23	F	Pan troglodytes T cell receptor alpha joining 23	1	15		IMGT000279	-
Pan troglodytes	TRAJ24	F	Pan troglodytes T cell receptor alpha joining 24	1	15		IMGT000279	-
Pan troglodytes	TRAJ25	F	Pan troglodytes T cell receptor alpha joining 25	1	15		IMGT000279	-
Pan troglodytes	TRAJ26	F	Pan troglodytes T cell receptor alpha joining 26	1	15		IMGT000279	-
Pan troglodytes	TRAJ27	F	Pan troglodytes T cell receptor alpha joining 27	1	15		IMGT000279	-
Pan troglodytes	TRAJ28	F	Pan troglodytes T cell receptor alpha joining 28	1	15		IMGT000279	-
Pan troglodytes	TRAJ29	F	Pan troglodytes T cell receptor alpha joining 29	1	15		IMGT000279	-
Pan troglodytes	TRAJ3	F	Pan troglodytes T cell receptor alpha joining 3	1	15		IMGT000279	-
Pan troglodytes	TRAJ30	F	Pan troglodytes T cell receptor alpha joining 30	1	15		IMGT000279	-
Pan troglodytes	TRAJ31	F	Pan troglodytes T cell receptor alpha joining 31	1	15		IMGT000279	-
Pan troglodytes	TRAJ32	F	Pan troglodytes T cell receptor alpha joining 32	1	15		IMGT000279	-
Pan troglodytes	TRAJ33	F	Pan troglodytes T cell receptor alpha joining 33	2	15		IMGT000279	-
Pan troglodytes	TRAJ34	F	Pan troglodytes T cell receptor alpha joining 34	1	15		IMGT000279	-
Pan troglodytes	TRAJ35	ORF	Pan troglodytes T cell receptor alpha joining 35	1	15		IMGT000279	-
Pan troglodytes	TRAJ36	F	Pan troglodytes T cell receptor alpha joining 36	1	15		IMGT000279	-
Pan troglodytes	TRAJ37	F	Pan troglodytes T cell receptor alpha joining 37	1	15		IMGT000279	-
Pan troglodytes	TRAJ38	F	Pan troglodytes T cell receptor alpha joining 38	1	15		IMGT000279	-
Pan troglodytes	TRAJ39	F	Pan troglodytes T cell receptor alpha joining 39	1	15		IMGT000279	-
Pan troglodytes	TRAJ4	F	Pan troglodytes T cell receptor alpha joining 4	1	15		IMGT000279	-
Pan troglodytes	TRAJ40	F	Pan troglodytes T cell receptor alpha joining 40	1	15		IMGT000279	-
Pan troglodytes	TRAJ41	F	Pan troglodytes T cell receptor alpha joining 41	1	15		IMGT000279	-
Pan troglodytes	TRAJ42	F	Pan troglodytes T cell receptor alpha joining 42	1	15		IMGT000279	-
Pan troglodytes	TRAJ43	F	Pan troglodytes T cell receptor alpha joining 43	1	15		IMGT000279	-
Pan troglodytes	TRAJ44	F	Pan troglodytes T cell receptor alpha joining 44	1	15		IMGT000279	-
Pan troglodytes	TRAJ45	F	Pan troglodytes T cell receptor alpha joining 45	1	15		IMGT000279	-
Pan troglodytes	TRAJ46	F	Pan troglodytes T cell receptor alpha joining 46	1	15		IMGT000279	-
Pan troglodytes	TRAJ47	F	Pan troglodytes T cell receptor alpha joining 47	1	15		IMGT000279	-
Pan troglodytes	TRAJ48	F	Pan troglodytes T cell receptor alpha joining 48	1	15		IMGT000279	-
Pan troglodytes	TRAJ49	F	Pan troglodytes T cell receptor alpha joining 49	2	15		IMGT000279	-
Pan troglodytes	TRAJ5	F	Pan troglodytes T cell receptor alpha joining 5	1	15		IMGT000279	-
Pan troglodytes	TRAJ50	F	Pan troglodytes T cell receptor alpha joining 50	1	15		IMGT000279	-
Pan troglodytes	TRAJ51	P	Pan troglodytes T cell receptor alpha joining 51	1	15		IMGT000279	-
Pan troglodytes	TRAJ52	ORF	Pan troglodytes T cell receptor alpha joining 52	1	15		IMGT000279	-
Pan troglodytes	TRAJ53	F	Pan troglodytes T cell receptor alpha joining 53	1	15		IMGT000279	-
Pan troglodytes	TRAJ54	F	Pan troglodytes T cell receptor alpha joining 54	1	15		IMGT000279	-
Pan troglodytes	TRAJ55	P	Pan troglodytes T cell receptor alpha joining 55	1	15		IMGT000279	-
Pan troglodytes	TRAJ56	F	Pan troglodytes T cell receptor alpha joining 56	1	15		IMGT000279	-
Pan troglodytes	TRAJ57	F	Pan troglodytes T cell receptor alpha joining 57	1	15		IMGT000279	-
Pan troglodytes	TRAJ58	F	Pan troglodytes T cell receptor alpha joining 58	1	15		IMGT000279	-
Pan troglodytes	TRAJ59	ORF	Pan troglodytes T cell receptor alpha joining 59	1	15		IMGT000279	-
Pan troglodytes	TRAJ6	F	Pan troglodytes T cell receptor alpha joining 6	1	15		IMGT000279	-
Pan troglodytes	TRAJ60	P	Pan troglodytes T cell receptor alpha joining 60	1	15		IMGT000279	-
Pan troglodytes	TRAJ61	ORF	Pan troglodytes T cell receptor alpha joining 61	1	15		IMGT000279	-
Pan troglodytes	TRAJ7	F	Pan troglodytes T cell receptor alpha joining 7	1	15		IMGT000279	-
Pan troglodytes	TRAJ8	F	Pan troglodytes T cell receptor alpha joining 8	1	15		IMGT000279	-
Pan troglodytes	TRAJ9	F	Pan troglodytes T cell receptor alpha joining 9	1	15		IMGT000279	-
Pan troglodytes	TRAV1-1	F	Pan troglodytes T cell receptor alpha variable 1-1	1	15		IMGT000279	-
Pan troglodytes	TRAV1-2	F	Pan troglodytes T cell receptor alpha variable 1-2	3	15		IMGT000279	-
Pan troglodytes	TRAV10	F	Pan troglodytes T cell receptor alpha variable 10	1	15		IMGT000279	-
Pan troglodytes	TRAV11	P	Pan troglodytes T cell receptor alpha variable 11	2	15		IMGT000279	-
Pan troglodytes	TRAV11-1	P	Pan troglodytes T cell receptor alpha variable 11-1	1	15		IMGT000279	-
Pan troglodytes	TRAV12-1	F	Pan troglodytes T cell receptor alpha variable 12-1	1	15		IMGT000279	-
Pan troglodytes	TRAV12-2	F	Pan troglodytes T cell receptor alpha variable 12-2	1	15		IMGT000279	-
Pan troglodytes	TRAV12-3	F	Pan troglodytes T cell receptor alpha variable 12-3	1	15		IMGT000279	-
Pan troglodytes	TRAV13-1	F	Pan troglodytes T cell receptor alpha variable 13-1	2	15		IMGT000279	-
Pan troglodytes	TRAV13-2	F	Pan troglodytes T cell receptor alpha variable 13-2	2	15		IMGT000279	-
Pan troglodytes	TRAV14	F	Pan troglodytes T cell receptor alpha variable 14	2	15		IMGT000279	-
Pan troglodytes	TRAV14-1	P	Pan troglodytes T cell receptor alpha variable 14-1	2	15		IMGT000279	-
Pan troglodytes	TRAV15	P	Pan troglodytes T cell receptor alpha variable 15	1	15		IMGT000279	-
Pan troglodytes	TRAV16	F	Pan troglodytes T cell receptor alpha variable 16	1	15		IMGT000279	-
Pan troglodytes	TRAV17	F	Pan troglodytes T cell receptor alpha variable 17	1	15		IMGT000279	-
Pan troglodytes	TRAV18	F	Pan troglodytes T cell receptor alpha variable 18	1	15		IMGT000279	-
Pan troglodytes	TRAV19	P	Pan troglodytes T cell receptor alpha variable 19	1	15		IMGT000279	-
Pan troglodytes	TRAV2	F	Pan troglodytes T cell receptor alpha variable 2	2	15		IMGT000279	-
Pan troglodytes	TRAV20	F	Pan troglodytes T cell receptor alpha variable 20	1	15		IMGT000279	-
Pan troglodytes	TRAV21	F	Pan troglodytes T cell receptor alpha variable 21	1	15		IMGT000279	-
Pan troglodytes	TRAV22	F	Pan troglodytes T cell receptor alpha variable 22	1	15		IMGT000279	-
Pan troglodytes	TRAV23	F	Pan troglodytes T cell receptor alpha variable 23	1	15		IMGT000279	-
Pan troglodytes	TRAV24	F	Pan troglodytes T cell receptor alpha variable 24	2	15		IMGT000279	-
Pan troglodytes	TRAV25	F	Pan troglodytes T cell receptor alpha variable 25	1	15		IMGT000279	-
Pan troglodytes	TRAV26-1	F	Pan troglodytes T cell receptor alpha variable 26-1	1	15		IMGT000279	-
Pan troglodytes	TRAV26-2	F	Pan troglodytes T cell receptor alpha variable 26-2	1	15		IMGT000279	-
